,userId,movieId,rating,timestamp,score
1711,0,0,3.0,979974023,1
1712,0,1,4.0,979870499,1
1713,0,2,3.0,979870379,1
1714,0,3,3.0,979974163,1
1715,0,5,4.0,979870629,1
1716,0,6,3.0,979870091,1
1728,0,7,2.0,979870775,1
1732,0,9,3.0,979870744,1
1733,0,10,5.0,979870012,1
1734,0,11,5.0,979972507,1
1735,0,12,4.0,979871047,1
1747,0,27,5.0,979972507,1
1749,0,28,4.0,979870091,1
1750,0,29,4.0,979874598,1
1751,0,32,4.0,979870179,1
1752,0,33,5.0,979869871,1
1754,0,34,4.0,979870500,1
1756,0,36,3.0,979974007,1
1757,0,37,5.0,979869871,1
1760,0,39,4.0,979870196,1
1761,0,44,4.0,979870815,1
1766,0,47,4.0,979870580,1
1779,0,52,3.0,979870897,1
1780,0,53,4.0,979870179,1
1782,0,55,4.0,979869604,1
1787,0,57,3.0,979870897,1
1789,0,59,5.0,979869871,1
1790,0,62,4.0,979971320,1
1796,0,66,3.0,979871124,1
1797,0,67,4.0,979870865,1
1799,0,68,3.0,979870315,1
1800,0,69,4.0,979974428,1
1801,0,70,5.0,979869887,1
1802,0,72,4.0,979974511,1
1803,0,73,3.0,979870988,1
1804,0,74,5.0,979869912,1
1805,0,76,3.0,979869799,1
1809,0,81,5.0,979870361,1
1812,0,84,4.0,979974023,1
1816,0,87,5.0,979972491,1
1818,0,92,5.0,979875257,1
1825,0,94,3.0,979972545,1
1830,0,95,5.0,979869912,1
1831,0,96,5.0,979875231,1
1838,0,97,3.0,979974444,1
1856,0,98,5.0,979869887,1
1872,0,99,4.0,979971476,1
1873,0,100,5.0,979972708,1
1877,0,102,5.0,979971339,1
1878,0,103,4.0,979973313,1
1879,0,104,4.0,979974341,1
1902,0,108,3.0,979870108,1
1903,0,109,4.0,979870816,1
1909,0,113,4.0,979972575,1
1911,0,115,3.0,979870055,1
1923,0,121,3.0,979871058,1
1927,0,123,4.0,979974257,1
1932,0,126,4.0,979870157,1
1936,0,130,3.0,979870639,1
1944,0,133,4.0,979870551,1
1954,0,135,4.0,979870463,1
1957,0,136,4.0,979972646,1
1962,0,137,5.0,979971320,1
1965,0,138,4.0,979971430,1
1990,0,139,4.0,979971838,1
1991,0,140,3.0,979974362,1
1993,0,142,5.0,979869961,1
1995,0,143,3.0,979972013,1
2005,0,144,4.0,979971713,1
2030,0,146,4.0,979974163,1
2037,0,147,4.0,979870196,1
2038,0,148,5.0,979870218,1
2045,0,149,3.0,979870179,1
2081,0,151,4.0,979971823,1
2096,0,154,4.0,979972646,1
2101,0,155,3.0,979870975,1
2105,0,156,4.0,979869981,1
2120,0,157,4.0,979870012,1
2124,0,158,4.0,979971521,1
2135,0,159,3.0,979870291,1
2150,0,160,4.0,979973919,1
2168,0,161,4.0,979870179,1
2181,0,162,4.0,979973247,1
2188,0,163,4.0,979870268,1
2258,0,164,4.0,979971766,1
2264,0,165,4.0,979869767,1
2278,0,166,5.0,979973940,1
2322,0,167,5.0,979869674,1
2806,1,0,3.0,1498761848,1
2807,1,1,4.0,1498761067,1
2809,1,2,5.0,1498761075,1
2814,1,10,5.0,1498760804,1
2815,1,11,4.5,1498761607,1
2816,1,15,3.5,1498760958,1
2817,1,16,2.5,1498761805,1
2818,1,19,4.0,1498761850,1
2819,1,21,2.5,1498761788,1
2823,1,24,3.0,1498761808,1
2824,1,26,4.0,1498761829,1
2825,1,27,5.0,1498760736,1
2826,1,30,5.0,1498761835,1
2827,1,32,5.0,1498761034,1
2828,1,33,5.0,1498760847,1
2829,1,35,2.0,1498761812,1
2830,1,37,4.0,1498760745,1
2831,1,38,2.5,1498761831,1
2832,1,42,3.5,1498761780,1
2835,1,46,1.5,1498761784,1
2837,1,47,3.0,1498761785,1
2838,1,51,3.5,1498761517,1
2839,1,59,5.0,1498760803,1
2840,1,62,5.0,1498761154,1
2843,1,70,5.0,1498761079,1
2844,1,74,4.0,1498760967,1
2845,1,76,3.0,1498761782,1
2848,1,81,4.0,1498760942,1
2849,1,82,5.0,1498760956,1
2850,1,87,3.0,1498760925,1
2851,1,88,1.0,1498762750,1
2852,1,92,4.5,1498761719,1
2855,1,95,5.0,1498761063,1
2856,1,96,3.5,1498762257,1
2857,1,97,4.5,1498762547,1
2872,1,98,5.0,1498760923,1
2880,1,100,3.0,1498762502,1
2884,1,103,4.5,1498762816,1
2885,1,104,4.0,1498761764,1
2896,1,110,4.0,1498762626,1
2897,1,113,5.0,1498762608,1
2898,1,114,2.5,1498761523,1
2902,1,117,5.0,1498761111,1
2903,1,118,2.0,1498761120,1
2904,1,121,3.5,1498761794,1
2906,1,125,3.0,1498761108,1
2908,1,127,5.0,1498761866,1
2910,1,130,2.0,1498761796,1
2912,1,131,2.0,1498761409,1
2914,1,136,4.0,1498762806,1
2915,1,137,4.0,1498764592,1
2916,1,138,1.0,1498764706,1
2920,1,139,4.5,1498762771,1
2921,1,142,4.0,1498764453,1
2923,1,144,2.5,1498764447,1
2925,1,146,3.5,1498764488,1
2934,1,156,3.5,1498761144,1
2937,1,157,2.0,1498760817,1
2938,1,158,5.0,1498762696,1
2942,1,160,5.0,1498760852,1
2945,1,161,4.0,1498761165,1
2949,1,164,5.0,1498762255,1
2950,1,165,5.0,1498760888,1
2962,1,167,2.0,1498761498,1
2963,1,168,5.0,1498760808,1
2969,1,169,1.5,1498761364,1
2971,1,171,4.0,1498760893,1
2972,1,173,4.5,1498760885,1
2973,1,174,3.0,1498761350,1
2980,1,176,3.0,1498761036,1
2982,1,178,3.0,1498760935,1
2995,1,182,4.0,1498761935,1
2999,1,183,5.0,1498761947,1
3000,1,184,4.5,1498761951,1
3001,1,185,3.5,1498761927,1
3010,1,189,2.5,1498761428,1
3011,1,192,1.5,1498760788,1
3012,1,193,2.0,1498760854,1
3032,1,197,4.0,1498760868,1
3042,1,198,3.0,1498761931,1
3794,2,1,3.0,979328509,1
3795,2,2,3.5,1054059882,1
3796,2,4,3.5,1054057806,1
3797,2,5,4.0,1133202945,1
3809,2,9,4.0,1074990420,1
3811,2,12,3.5,1054057708,1
3813,2,13,3.5,1046465675,1
3815,2,15,4.5,1045606662,1
3816,2,16,3.5,1045607929,1
3817,2,17,3.0,979351738,1
3818,2,18,2.5,1045608675,1
3819,2,20,3.0,979328542,1
3820,2,21,4.0,1060353377,1
3831,2,23,4.5,1045606639,1
3832,2,24,4.0,1056747175,1
3833,2,26,4.5,1045606434,1
3834,2,27,4.5,1045606534,1
3838,2,31,4.0,979328898,1
3839,2,33,4.0,1054327807,1
3841,2,35,4.0,979328848,1
3842,2,36,2.5,1045608458,1
3843,2,37,4.0,1054327884,1
3844,2,38,2.5,1054058649,1
3847,2,39,3.5,1045606752,1
3848,2,40,3.5,1045606686,1
3849,2,42,4.5,1056743180,1
3850,2,45,3.5,1056350906,1
3854,2,46,4.0,979348671,1
3859,2,47,4.0,979328542,1
3867,2,51,3.0,979331844,1
3869,2,53,5.0,979328458,1
3872,2,55,4.5,1045606649,1
3876,2,56,3.5,1045608538,1
3883,2,63,3.5,1046465533,1
3886,2,65,4.5,1045606827,1
3887,2,66,3.0,979349817,1
3888,2,67,4.0,979348590,1
3890,2,69,5.0,979328485,1
3891,2,70,4.0,1045693483,1
3892,2,74,3.5,1045607873,1
3894,2,76,3.0,1015968850,1
3907,2,81,3.0,979352483,1
3908,2,82,2.5,1045607698,1
3911,2,84,3.0,979350541,1
3912,2,85,3.0,979330320,1
3928,2,95,4.0,979354089,1
3932,2,97,4.5,1074990043,1
3946,2,102,4.0,979349124,1
3948,2,103,5.0,979332223,1
3949,2,104,5.0,979351410,1
3951,2,106,4.0,1045693577,1
3957,2,108,4.0,979352119,1
3958,2,109,2.0,979328509,1
3959,2,111,3.0,979350149,1
3963,2,113,4.0,1045608615,1
3965,2,114,3.5,1046465550,1
3966,2,115,3.5,1101937755,1
3968,2,116,4.0,979330236,1
3983,2,117,3.5,1054058281,1
3984,2,118,3.5,1045606812,1
3985,2,119,2.0,979329966,1
3986,2,120,3.0,979328632,1
3987,2,121,4.5,1045606623,1
3988,2,122,4.5,1045606497,1
3996,2,124,3.0,1010014342,1
4000,2,127,3.0,979329201,1
4002,2,128,4.0,979352606,1
4003,2,129,3.5,1108588028,1
4005,2,130,3.0,979353383,1
4006,2,131,3.0,979349700,1
4014,2,132,1.0,979331967,1
4027,2,134,3.0,979328971,1
4029,2,135,4.0,979332347,1
4030,2,136,4.0,1045693706,1
4031,2,137,3.5,1045608295,1
4032,2,138,4.5,1045606494,1
4041,2,139,3.5,1122389798,1
4042,2,140,3.5,1122389855,1
4043,2,142,3.5,1045608694,1
4044,2,143,1.5,1045607548,1
4050,2,144,4.0,979328608,1
4056,2,145,3.5,1122389861,1
4068,2,146,4.0,979352351,1
4079,2,149,3.5,1045693293,1
4098,2,151,3.0,979350093,1
4104,2,152,4.0,1124906800,1
4119,2,153,3.0,979328758,1
4121,2,154,4.0,979328542,1
4145,2,157,5.0,979412654,1
4147,2,158,3.5,1045606696,1
4169,2,160,4.0,1043627981,1
4180,2,161,4.5,1045606670,1
4184,2,162,4.0,979332240,1
4223,2,164,4.0,1056743477,1
4227,2,165,4.0,1040068171,1
4295,2,168,4.0,1043628082,1
4337,2,169,4.5,1045606579,1
4345,2,172,3.0,1051551430,1
4347,2,173,4.0,1050941662,1
4351,2,175,3.5,1046465527,1
4413,2,178,3.5,1102357884,1
4432,2,179,3.0,1098040101,1
4437,2,180,2.5,1057679835,1
4456,2,181,2.5,1090419379,1
4484,2,183,3.5,1110812032,1
4500,2,184,4.0,1113420910,1
4509,2,185,4.5,1113420872,1
4553,2,191,3.5,1146155430,1
4554,2,192,3.0,1144794801,1
4807,3,0,4.5,1149447909,1
4809,3,4,3.5,1149447926,1
4816,3,9,4.0,1149447999,1
4817,3,10,4.0,1149446569,1
4818,3,11,5.0,1149445574,1
4819,3,12,4.0,1149444635,1
4822,3,16,4.0,1149446562,1
4823,3,18,3.0,1149448078,1
4824,3,20,4.5,1149448230,1
4825,3,21,4.0,1149447696,1
4829,3,22,4.0,1149447806,1
4832,3,23,4.5,1149447041,1
4833,3,24,3.5,1149447752,1
4835,3,26,5.0,1149447789,1
4836,3,27,5.0,1149444815,1
4837,3,28,1.0,1149447037,1
4838,3,30,4.0,1149447831,1
4839,3,32,5.0,1149446076,1
4840,3,33,4.5,1149444925,1
4841,3,35,4.5,1149447723,1
4842,3,36,4.0,1149448005,1
4843,3,38,3.5,1149447748,1
4846,3,42,4.0,1149446555,1
4847,3,44,3.5,1149447707,1
4850,3,46,4.0,1149447735,1
4854,3,47,4.0,1149447687,1
4855,3,48,4.5,1149446552,1
4856,3,49,3.5,1149447906,1
4859,3,50,3.0,1149447781,1
4860,3,51,4.0,1149447950,1
4862,3,54,3.5,1149448217,1
4863,3,55,4.0,1149447645,1
4865,3,56,3.5,1149446874,1
4866,3,58,4.0,1149447939,1
4868,3,59,3.5,1149444879,1
4869,3,62,5.0,1149445027,1
4871,3,63,5.0,1149447013,1
4873,3,66,3.5,1149444686,1
4874,3,67,4.5,1149447681,1
4876,3,68,2.5,1149447654,1
4877,3,69,4.5,1149447649,1
4878,3,70,4.0,1149444881,1
4879,3,72,4.5,1149447700,1
4880,3,74,4.0,1149446871,1
4882,3,76,3.5,1149447691,1
4886,3,80,5.0,1149445294,1
4887,3,81,4.0,1149447979,1
4888,3,82,4.0,1149447669,1
4890,3,83,4.0,1149447956,1
4891,3,85,4.0,1149447219,1
4893,3,87,5.0,1149445059,1
4897,3,88,5.0,1149445063,1
4899,3,89,4.0,1149447007,1
4900,3,90,4.5,1149448100,1
4901,3,91,4.0,1149445221,1
4902,3,93,5.0,1149444843,1
4906,3,94,4.5,1149447785,1
4908,3,95,5.0,1149445031,1
4909,3,96,4.0,1149448201,1
4922,3,98,4.0,1149444977,1
4931,3,99,4.0,1149448031,1
4932,3,100,0.5,1149448161,1
4935,3,101,5.0,1149445285,1
4939,3,104,3.5,1149446356,1
4940,3,105,4.0,1149445145,1
4944,3,106,4.5,1149446696,1
4950,3,109,4.0,1149446660,1
4951,3,110,4.5,1149446966,1
4953,3,111,4.0,1149448747,1
4954,3,112,5.0,1149444611,1
4955,3,114,4.0,1149446963,1
4956,3,115,5.0,1149446959,1
4958,3,116,4.0,1149448071,1
4963,3,117,3.5,1149448334,1
4964,3,118,4.0,1149448385,1
4965,3,120,4.0,1149448065,1
4966,3,121,4.0,1149447795,1
4967,3,122,4.0,1149447947,1
4971,3,126,4.0,1149444564,1
4972,3,127,4.0,1149448317,1
4973,3,129,4.0,1149446655,1
4976,3,138,4.0,1149447944,1
4981,3,142,4.0,1149444841,1
4982,3,143,3.5,1149444569,1
4984,3,144,4.5,1149445975,1
4989,3,146,4.5,1149448096,1
4990,3,147,3.5,1149446941,1
4996,3,152,4.5,1149447427,1
4998,3,153,5.0,1149447609,1
5000,3,154,4.5,1149444596,1
5006,3,156,4.0,1149445000,1
5013,3,157,4.0,1149444819,1
5014,3,158,4.0,1149448068,1
5024,3,160,5.0,1149445045,1
5032,3,161,4.0,1149446608,1
5033,3,162,4.5,1149447960,1
5042,3,164,3.5,1149445932,1
5044,3,165,4.0,1149447849,1
5059,3,167,4.0,1149444643,1
5065,3,168,5.0,1149444993,1
5075,3,169,3.0,1149444616,1
5076,3,170,5.0,1149445642,1
5077,3,171,4.0,1149445241,1
5078,3,173,5.0,1149444921,1
5080,3,175,4.0,1149448307,1
5090,3,176,4.5,1149445365,1
5095,3,177,5.0,1149445632,1
5099,3,178,4.0,1149445049,1
5133,3,182,5.0,1149445639,1
5137,3,184,5.0,1149445677,1
5139,3,185,4.0,1149444864,1
5146,3,187,4.5,1149448657,1
5156,3,189,5.0,1149445634,1
5157,3,190,5.0,1149447410,1
5158,3,191,4.5,1149444789,1
5159,3,193,5.0,1149444712,1
6027,4,0,2.0,1095394231,1
6029,4,4,4.0,1117834029,1
6034,4,7,3.5,1095394153,1
6035,4,9,4.0,1095396058,1
6037,4,11,4.0,1128521908,1
6039,4,15,4.5,1095393658,1
6040,4,17,3.5,1099977767,1
6042,4,22,4.5,1095394089,1
6043,4,23,4.5,1095394207,1
6044,4,24,4.0,1095394057,1
6045,4,27,4.5,1095393866,1
6047,4,33,5.0,1109561248,1
6048,4,34,4.0,1095394133,1
6049,4,35,4.0,1095394573,1
6050,4,36,2.0,1095394570,1
6051,4,38,4.0,1095394031,1
6053,4,42,4.5,1095393905,1
6054,4,43,4.0,1095393498,1
6055,4,46,3.0,1095394027,1
6057,4,47,4.0,1095393900,1
6059,4,53,4.5,1095393871,1
6060,4,54,4.0,1095524832,1
6061,4,55,4.0,1095393855,1
6062,4,56,2.5,1095394558,1
6064,4,58,3.0,1179860313,1
6067,4,61,3.0,1095474106,1
6068,4,62,4.0,1184347971,1
6069,4,65,2.5,1095394178,1
6070,4,66,3.0,1095394084,1
6071,4,67,2.0,1095393894,1
6072,4,71,2.0,1117834335,1
6073,4,72,2.5,1095474085,1
6076,4,74,4.0,1119588185,1
6079,4,76,4.5,1095393908,1
6082,4,80,5.0,1109561628,1
6083,4,82,4.0,1095393877,1
6086,4,87,4.0,1117834182,1
6087,4,88,4.5,1142620821,1
6088,4,89,2.5,1095394215,1
6089,4,91,4.5,1125262780,1
6090,4,92,2.5,1095394210,1
6092,4,93,3.0,1095394535,1
6098,4,95,5.0,1117834323,1
6099,4,96,5.0,1120978836,1
6117,4,99,4.0,1095466844,1
6118,4,100,5.0,1132183365,1
6122,4,102,4.5,1109561381,1
6124,4,103,4.5,1095394163,1
6126,4,106,4.0,1117834536,1
6127,4,107,2.5,1095394493,1
6137,4,110,3.5,1095394474,1
6144,4,117,3.5,1095461401,1
6145,4,118,3.0,1183492124,1
6147,4,121,4.0,1095394116,1
6148,4,122,4.0,1095394517,1
6150,4,123,4.0,1120854531,1
6151,4,128,4.0,1095464130,1
6155,4,130,2.5,1095394149,1
6157,4,131,4.5,1095394452,1
6163,4,134,3.5,1117834402,1
6166,4,135,4.0,1179810394,1
6168,4,136,3.0,1095461475,1
6169,4,138,5.0,1117834314,1
6173,4,139,3.5,1099976665,1
6174,4,140,2.0,1095394456,1
6176,4,142,4.5,1095394086,1
6180,4,144,4.5,1095396029,1
6186,4,146,4.0,1135978214,1
6191,4,149,3.5,1095396036,1
6192,4,150,4.0,1095474718,1
6201,4,152,5.0,1095466895,1
6206,4,153,3.5,1117834541,1
6209,4,155,4.0,1117834828,1
6211,4,156,4.5,1148278882,1
6220,4,157,3.5,1095463614,1
6222,4,158,4.5,1095393675,1
6231,4,159,4.5,1095467059,1
6235,4,160,5.0,1095466893,1
6239,4,161,4.5,1095393517,1
6243,4,162,4.0,1095461361,1
6261,4,165,2.5,1095394248,1
6290,4,167,4.0,1095394429,1
6291,4,168,4.0,1121107701,1
6306,4,169,3.5,1095394639,1
6307,4,170,4.0,1099976770,1
6311,4,173,4.0,1095395406,1
6333,4,176,4.5,1109561360,1
6336,4,177,3.5,1095395412,1
6352,4,179,4.0,1179860619,1
6370,4,181,1.5,1095394613,1
6397,4,183,4.0,1127918675,1
6401,4,184,4.0,1109561323,1
6417,4,186,4.5,1179810329,1
6441,4,191,3.5,1136513680,1
6449,4,194,4.5,1179472263,1
6467,4,198,3.5,1256008749,1
6656,5,1,5.0,949117458,1
6658,5,5,3.0,949117523,1
6666,5,10,5.0,939601017,1
6667,5,11,5.0,942435266,1
6670,5,23,5.0,939600859,1
6671,5,27,5.0,939602051,1
6672,5,30,3.0,949117775,1
6673,5,32,5.0,1011581129,1
6674,5,33,5.0,939554034,1
6675,5,37,5.0,942435304,1
6676,5,44,3.0,949117650,1
6682,5,48,3.0,949117775,1
6685,5,51,2.0,1013301588,1
6686,5,53,5.0,949117458,1
6689,5,55,4.0,949117553,1
6693,5,62,4.0,939554211,1
6697,5,67,4.0,952656309,1
6699,5,68,5.0,944334525,1
6700,5,69,5.0,949117594,1
6701,5,70,5.0,939601638,1
6703,5,74,4.0,939601429,1
6704,5,76,2.0,949118045,1
6706,5,80,5.0,939601017,1
6707,5,81,4.0,939601017,1
6708,5,82,3.0,1013301588,1
6710,5,83,3.0,949118206,1
6711,5,84,4.0,1013301804,1
6712,5,87,5.0,939553183,1
6717,5,88,3.0,939601639,1
6719,5,89,3.0,939601538,1
6720,5,90,4.0,944334289,1
6721,5,91,5.0,939554380,1
6722,5,92,5.0,942435045,1
6723,5,93,5.0,939602051,1
6729,5,94,5.0,952656545,1
6731,5,95,5.0,939600935,1
6751,5,98,5.0,939554380,1
6770,5,99,3.0,939601722,1
6771,5,100,5.0,1013300879,1
6774,5,101,3.0,939600718,1
6777,5,102,4.0,944334325,1
6781,5,103,5.0,952655782,1
6782,5,104,5.0,944334458,1
6786,5,106,3.0,942435227,1
6798,5,108,4.0,939601429,1
6799,5,110,4.0,949117490,1
6800,5,113,5.0,939554585,1
6811,5,120,3.0,1013301499,1
6812,5,121,4.0,949117650,1
6813,5,122,3.0,1013301165,1
6818,5,123,5.0,944334289,1
6823,5,124,5.0,942435045,1
6824,5,125,4.0,1041212685,1
6825,5,126,4.0,1013301165,1
6826,5,127,3.0,949118206,1
6827,5,130,2.0,939601225,1
6829,5,131,4.0,952656519,1
6837,5,135,5.0,942435227,1
6841,5,137,3.0,941591999,1
6845,5,138,4.0,952656490,1
6848,5,139,4.0,1013301499,1
6851,5,141,4.0,939553183,1
6852,5,142,5.0,949117280,1
6853,5,143,4.0,1013301804,1
6859,5,144,4.0,949117650,1
6876,5,146,3.0,939554465,1
6880,5,148,5.0,952655837,1
6884,5,149,4.0,942435266,1
6885,5,150,4.0,1041212535,1
6899,5,152,3.0,1041213106,1
6906,5,153,3.0,939600360,1
6908,5,154,5.0,949117553,1
